MQ2,Temperature,Humidity,Fire_Alarm
137.6429569592166,36.67028867904179,79.7992046477989,2
91.03109895427838,34.75010629529148,61.9450193234501,1
81.79603381675656,34.11192644120067,58.17453598801458,1
53.16734307889972,33.355128723684565,63.093611554785134,0
147.8048362948923,37.45121621284784,70.65178865103172,2
109.2738150017461,35.84174573215158,65.0790122422556,1
37.763399448000506,32.56968098875493,55.15456616528867,0
111.58477764451982,35.59819166850122,64.38536182318379,1
86.35836071907569,35.33144074778231,64.16787386991773,1
144.25475843469235,35.56113124567257,73.63005444447859,2
70.47720060716802,35.59416712876516,63.981306387148685,1
59.097295564859834,32.32244257450801,61.918951976926934,0
95.18817551480527,33.036463424069446,59.665926071792924,1
122.67143382943485,33.13633914102437,60.47600462086951,1
59.60660809801552,33.18178588637648,57.93591844264493,0
99.40627328739717,34.66629511680788,66.94527369021196,1
76.74746808735779,35.851234452229676,64.04100725025828,1
51.95981825434215,32.62871196215265,56.616287140946135,0
45.602040635334326,33.00535804645772,64.6665481904367,0
55.98528437324806,33.511102277086096,61.635017691080556,0
98.26124315068404,35.95800319146861,62.70692854119679,1
47.959754525911094,33.017141382329406,63.98554188527079,0
74.38622256026517,35.11872668146949,67.06164706808343,1
34.67983561008608,32.49858445829775,55.0919705161663,0
33.47607178575389,32.27504188829199,62.95792669436101,0
57.6562270506935,32.484110543023,60.5680126245835,0
71.18743213015595,34.7823921460564,58.240854373332716,1
40.75397185632818,33.873459977473466,62.019668772577035,0
53.13811040057837,33.38187547620493,62.98295178966775,0
174.83827123132124,36.27630931584925,71.91277481215688,2
31.90675050858071,33.754678706761965,55.93981939840869,0
114.5874479664645,35.52635676940713,61.929968226134974,1
139.3283512025653,37.30847879957581,65.09281309527528,2
45.74269294896713,32.373140117772074,62.464914051180244,0
102.73657080679304,33.92858284885898,62.445665233496584,1
35.50213529560301,33.74292118037543,57.372490874968,0
33.58782737814905,32.1862055356118,55.3050024993905,0
110.0368850984515,35.84939973987577,58.440198434687176,1
69.16167805250993,35.67079135167275,66.28473794355239,1
57.27961206236346,32.60175661963354,58.70158700255445,0
84.37738837647476,35.663112548274896,66.05887834711359,1
42.95835055926347,33.785117996979956,61.49632899047215,0
81.24993507572445,33.35120104928282,67.26782070082767,1
160.28874096784435,35.512662762170194,66.73208556387841,2
54.97327922401266,33.859395304685144,61.519612595026004,0
95.31514234687143,35.90974319344381,60.537376083958534,1
90.1760037456674,34.128778756592745,68.84990433392498,1
96.88127789408888,35.36885442838366,65.27409561341057,1
44.81386789093172,32.69841914922532,60.222432600548046,0
41.66031869068446,32.73556626543851,61.1500722669917,0
38.42803529062142,32.180579540108816,63.773730719279556,0
110.1424717662608,33.38747824545449,64.84933965602694,1
35.87948587257436,33.52323923065744,61.96029796674973,0
39.329469651469864,32.51588325543031,60.78280140996174,0
38.736874205941255,33.0786844838313,63.49223410494178,0
